Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,10.034700,10.034700,10.034700,10.034700,10.034700,0
2008-01-03,10.026700,10.026700,10.026700,10.026700,10.026700,0
2008-01-04,10.058700,10.058700,10.058700,10.058700,10.058700,0
2008-01-07,10.051600,10.051600,10.051600,10.051600,10.051600,0
2008-01-08,10.011500,10.011500,10.011500,10.011500,10.011500,0
2008-01-09,10.050500,10.050500,10.050500,10.050500,10.050500,0
2008-01-10,10.051400,10.051400,10.051400,10.051400,10.051400,0
2008-01-11,10.019300,10.019300,10.019300,10.019300,10.019300,0
2008-01-14,10.024700,10.024700,10.024700,10.024700,10.024700,0
2008-01-15,10.046300,10.046300,10.046300,10.046300,10.046300,0
2008-01-16,10.073200,10.073200,10.073200,10.073200,10.073200,0
2008-01-17,10.054800,10.054800,10.054800,10.054800,10.054800,0
2008-01-18,10.040300,10.040300,10.040300,10.040300,10.040300,0
2008-01-21,10.094400,10.094400,10.094400,10.094400,10.094400,0
2008-01-22,9.990770,9.990770,9.990770,9.990770,9.990770,0
2008-01-23,10.045400,10.045400,10.045400,10.045400,10.045400,0
2008-01-24,9.965950,9.965950,9.965950,9.965950,9.965950,0
2008-01-25,9.980950,9.980950,9.980950,9.980950,9.980950,0
2008-01-28,10.018800,10.018800,10.018800,10.018800,10.018800,0
2008-01-29,9.949000,9.949000,9.949000,9.949000,9.949000,0
2008-01-30,9.970610,9.970610,9.970610,9.970610,9.970610,0
2008-01-31,10.038200,10.038200,10.038200,10.038200,10.038200,0
2008-02-01,10.043100,10.043100,10.043100,10.043100,10.043100,0
2008-02-04,10.017200,10.017200,10.017200,10.017200,10.017200,0
2008-02-05,10.082500,10.082500,10.082500,10.082500,10.082500,0
2008-02-06,10.038700,10.038700,10.038700,10.038700,10.038700,0
2008-02-07,10.065300,10.065300,10.065300,10.065300,10.065300,0
2008-02-08,10.060500,10.060500,10.060500,10.060500,10.060500,0
2008-02-11,10.018600,10.018600,10.018600,10.018600,10.018600,0
2008-02-12,9.918550,9.918550,9.918550,9.918550,9.918550,0
2008-02-13,9.927160,9.927160,9.927160,9.927160,9.927160,0
2008-02-14,9.909050,9.909050,9.909050,9.909050,9.909050,0
2008-02-15,9.933330,9.933330,9.933330,9.933330,9.933330,0
2008-02-18,9.896180,9.896180,9.896180,9.896180,9.896180,0
2008-02-19,9.908470,9.908470,9.908470,9.908470,9.908470,0
2008-02-20,9.891880,9.891880,9.891880,9.891880,9.891880,0
2008-02-21,9.903010,9.903010,9.903010,9.903010,9.903010,0
2008-02-22,9.905310,9.905310,9.905310,9.905310,9.905310,0
2008-02-25,9.874920,9.874920,9.874920,9.874920,9.874920,0
2008-02-26,9.880780,9.880780,9.880780,9.880780,9.880780,0
2008-02-27,9.888640,9.888640,9.888640,9.888640,9.888640,0
